,GHB Final,,,
Year,JF,MAM,JJAS,OND
1996,0.981,0.45,2.8845,1.4385
1997,0.951,0.45,3.1845,1.8735
1998,0.918,0.45,3.1455,1.8525
1999,1.425,0.684,2.874,1.6875
2000,1.206,0.693,2.8965,1.6125
2001,1.218,0.798,3.0105,1.7025
2002,1.035,0.822,3.0705,1.7475
2003,1.269,0.648,2.814,1.6695
2004,1.257,0.846,2.949,1.6365
2005,1.209,0.666,2.901,1.6995
2006,1.212,0.741,2.8305,1.5675
2007,1.281,0.771,2.8005,2.2335
2008,1.302,0.78,2.7855,1.6875
2009,1.266,0.867,3.1455,1.8075
2010,1.263,0.798,3.2055,1.9275
2011,1.281,0.804,3.4305,1.9155
2012,1.287,0.876,3.1905,1.8165
2013,1.215,0.897,3.0855,1.8375
2014,1.281,0.867,2.9745,2.0175
2015,1.371,0.942,2.8245,1.8675
2016,1.3965,1.056,2.889,1.8465
2017,1.2195,0.7575,2.9955,1.7835
2018,1.3815,0.9225,3.255,1.965
2019,1.4025,0.945,3.258,1.9695
2020,1.425,0.9675,3.264,1.974
2021,1.425,0.981,3.282,1.9875
2022,1.4355,0.996,3.3015,2.0055
2023,1.446,1.005,3.315,2.0205
2024,1.4655,1.014,3.3255,2.034
2025,1.4745,1.0305,3.351,2.0505
