Year,Annual Rainfall (mm),GW Extraction (ham*),Assessment Type / Source
2015,"3,221.70","7,120",IMD / CGWB Trend
2016,"3,105.40","7,160",IMD / CGWB Trend
2017,"3,518.20","7,208.55",CGWB 2017 Report
2018,"3,603.50","7,340",KSNDMC / CGWB Trend
2019,"4,359.10","7,420",KSNDMC / CGWB Trend
2020,"3,936.00","7,485.40",CGWB 2020 Report
2021,"3,784.00","7,750",KSNDMC / CGWB Trend
2022,"3,672.40","8,015.02",CGWB 2022 Report
2023,"3,440.00","8,154.21",CGWB 2023 Report
2024,"3,720.00","8,240",KSNDMC / CGWB Trend
2025,"3,850.00","8,335.00",CGWB 2025 Report*
,,,
