Sample ID,distance in m,latitude ,longitude ,TDS(ppm),Salinity(ppt),pH,DO(mg/L),Temperature,Conductivity (?S/cm),P-Alkalinity,IR(ml),FR(ml),volume (ml) ,T-Alkalinity,GL,SL,GL above MSL
TW 6,75,13.006297,74.789538,151.5280899,0.145235955,6.98,2.66,28.4,337.2,0,11,12,1,10,28.5,21,7.5
GW 7,80,13.005799,74.789639,149.2900763,0.143793893,6.86,,27.4,327.6,0,35,46.5,11.5,115,30,21,9
GW 9,130,13.016510,74.788466,84.77011494,0.080862069,7.29,7.95,27.2,201,0,0,6.9,6.9,69,27,21,6
TW 8,150,13.011133,74.789393,251.738657,0.226911071,7.35,2.75,30.1,543.6,0,32,58,26,260,27,21,6
GW 5,180,13.004476,74.790815,69.17475728,0.067893204,6.29,5.23,26.5,166.5,0,22,25,3,30,42.5,21,21.5
GW 10 ,210,13.009051,74.790291,98.50674374,0.092456647,6.82,5.24,26.9,228.5,0,0,8.5,8.5,85,30.5,21,9.5
TW 12,310,13.005090,74.791829,98.99451554,0.092369287,6.56,2.83,29.7,240.6,0,12,22,10,100,37.7,21,16.7
GW 11,405,13.007174,74.792422,4.682684825,0.027247568,6.21,2.3,26.4,80.03,0,0,2.8,2.8,28,42,21,21
GW 13,520,13.014747,74.792293,0.448098859,0.023485266,5.61,6.17,27.6,70.59,0,0,1.5,1.5,15,37,21,16
GW 2,745,13.007161,74.795443,73.19391635,0.071064639,6.04,2.92,27.6,178,0,12,16,4,40,30,21,9
TW 3,790,13.013506,74.795046,79.02033272,0.075693161,6.41,2.86,29.1,195,0,20,25.5,5.9,55,31,21,10
TW 4,908,13.009851,74.796434,93.97196262,0.088357009,6.43,2.02,28.5,225.1,0,30,36.6,6.5,66,45,21,24
GW 1,1100,13.011793,74.797744,14.2936803,0.033503717,5.08,2.51,28.8,103,0,10,11.5,1.5,15,36,21,15
