Sample_ID,latitude,longitude,distance_m,TDS_ppm,Salinity_ppt,pH,DO_mgL,Temperature,Conductivity,GL,SL,GL_above_MSL,well_type
TW6,13.006297,74.789538,75,151.528,0.14524,6.98,2.66,28.4,337.2,28.5,21,7.5,TW
GW7,13.005799,74.789639,80,149.29,0.14379,6.86,,27.4,327.6,30,21,9,GW
GW9,13.01651,74.788466,130,84.77,0.08086,7.29,7.95,27.2,201,27,21,6,GW
TW8,13.011133,74.789393,150,251.739,0.22691,7.35,2.75,30.1,543.6,27,21,6,TW
GW5,13.004476,74.790815,180,69.175,0.06789,6.29,5.23,26.5,166.5,42.5,21,21.5,GW
GW10,13.009051,74.790291,210,98.507,0.09246,6.82,5.24,26.9,228.5,30.5,21,9.5,GW
TW12,13.00509,74.791829,310,98.995,0.09237,6.56,2.83,29.7,240.6,37.7,21,16.7,TW
GW11,13.007174,74.792422,405,4.683,0.02725,6.21,2.3,26.4,80.03,42,21,21,GW
GW13,13.014747,74.792293,520,0.448,0.02349,5.61,6.17,27.6,70.59,37,21,16,GW
GW2,13.007161,74.795443,745,73.194,0.07106,6.04,2.92,27.6,178,30,21,9,GW
TW3,13.013506,74.795046,790,79.02,0.07569,6.41,2.86,29.1,195,31,21,10,TW
TW4,13.009851,74.796434,908,93.972,0.08836,6.43,2.02,28.5,225.1,45,21,24,TW
GW1,13.011793,74.797744,1100,14.294,0.0335,5.08,2.51,28.8,103,36,21,15,GW
